"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Biosynthesis of unsaturated fatty acids"	12670.2085674447	0.0626692532536663	0.0247788491740063	2.52914301280013	0.011434142598699	0.0308375360995215
"Biotin metabolism"	7880.80011332411	0.177923018255208	0.0353156065184347	5.03808473917423	4.70213272015887e-07	1.79352776611774e-05
"Calcium signaling pathway"	69.6727146945667	0.268174204242546	0.0900177965395719	2.9791242904358	0.00289073494766663	0.0112673660076948
"Carbohydrate digestion and absorption"	955.57039644837	0.145886467052741	0.0576329500250156	2.53130313456831	0.0113639589633217	0.0308375360995215
"Carbon fixation in photosynthetic organisms"	22301.6625184766	-0.0571715896698402	0.0243064190640349	-2.35211898220065	0.0186668028850776	0.0457251043148232
"Carbon fixation pathways in prokaryotes"	43512.9898537583	-0.0410436298762444	0.0161343805088626	-2.54386152934097	0.0109634536744475	0.030492105532057
"Cardiac muscle contraction"	1711.57248542948	0.223009948489014	0.0874164544952698	2.5511209505881	0.0107377054607844	0.0303275541427681
"Carotenoid biosynthesis"	3124.85947800553	-0.214420573156167	0.0885521675978693	-2.42140400368163	0.0154606839240259	0.0404706138011265
"Cell cycle - Caulobacter"	18401.3773885454	-0.0752514600352076	0.0215916368798104	-3.48521330059846	0.000491744876696238	0.00285425830604121
"Cell division"	2874.26302841073	-0.119644660952255	0.0284095202323182	-4.21142842166512	2.53760963103936e-05	0.000307973532494322
"Cell motility and secretion"	10359.085456438	0.121121221098845	0.0363663784596207	3.33058242885887	0.000866645003047721	0.00428507807062484
"Chaperones and folding catalysts"	40847.350211461	0.0784641490163931	0.0255716538223799	3.06840337982843	0.00215205907878647	0.00912063133390455
"Chlorocyclohexane and chlorobenzene degradation"	3199.89673586925	-0.202055093570586	0.0679751304937908	-2.97248555615562	0.00295399108815968	0.0112673660076948
"Circadian rhythm - plant"	321.576065737711	-0.550896871758969	0.0995012565267792	-5.53658205924971	3.08431365089632e-08	1.64702348957864e-06
"Colorectal cancer"	513.877911110801	-0.239436444917471	0.100782331740456	-2.37577798392371	0.0175119960326742	0.0439726367094495
"D-Alanine metabolism"	3494.32138896612	-0.0717871221298199	0.0152729722711265	-4.70027188260752	2.59815343061146e-06	5.33620743056353e-05
"D-Arginine and D-ornithine metabolism"	254.381011159911	-0.273167303657116	0.0925780175667145	-2.95067134549801	0.00317084115062074	0.0117835168343994
"D-Glutamine and D-glutamate metabolism"	5603.27482696936	-0.0718723071306972	0.0275943539737772	-2.60460191236936	0.00919810614461824	0.0264794955829968
"DNA replication"	23637.4548581717	-0.0961974853012258	0.0353190633056203	-2.7236703439391	0.00645609123512375	0.0195883677247505
"DNA replication proteins"	40550.4433008927	-0.087257593607868	0.035338172957693	-2.46921632627508	0.0135409331978231	0.0357963283546413
"Epithelial cell signaling in Helicobacter pylori infection"	1212.28200256852	0.249644968406727	0.0893670003178445	2.7934804516078	0.00521441805610935	0.0169786539144048
"Ether lipid metabolism"	171.782861561546	-0.297484837259503	0.101547561170138	-2.9295123765807	0.00339494292907792	0.0124171200282713
"Ethylbenzene degradation"	4196.94708501592	0.0754475384813474	0.0317879099892776	2.37346646906942	0.0176219929884311	0.0439726367094495
"Fatty acid biosynthesis"	23948.9416963041	-0.0750713615432108	0.0275089617203459	-2.72897837098981	0.00635308706852079	0.0195883677247505
"Flagellar assembly"	19868.1053318309	0.30830271818627	0.0824445380931087	3.73951659281647	0.000184374478183867	0.00126225604295109
"Flavonoid biosynthesis"	689.181803254791	-0.458241540218258	0.0983400552207588	-4.65976492681007	3.16570709139333e-06	5.87558998804246e-05
"Function unknown"	76327.0697831035	0.129467487017359	0.0326070540018568	3.97053616097875	7.17110705703397e-05	0.000709142808973359
"Galactose metabolism"	10205.6097198338	0.0705809555632481	0.0299884863555296	2.35360180325452	0.0185925159780162	0.0457251043148232
"Glutamatergic synapse"	4251.98900882029	-0.100068254136772	0.0329224178401892	-3.03951716494577	0.00236957699207576	0.00976831026167234
"Glycan biosynthesis and metabolism"	2914.67269205799	0.253952311470735	0.0517764595980575	4.90478324401041	9.35305657969897e-07	2.77474011864403e-05
"Glycerophospholipid metabolism"	18882.5425853027	-0.0838035184921767	0.028837438828469	-2.90606662369211	0.00366003510209356	0.012858281213934
"Glycolysis / Gluconeogenesis"	38466.2571630721	-0.0653652133215696	0.023675024222465	-2.76093543589895	0.00576360691961315	0.018540759608876
"Glyoxylate and dicarboxylate metabolism"	26122.2002113304	-0.0695648174557159	0.0260638190990262	-2.66901858056232	0.00760732417608416	0.0225683950557163
"Indole alkaloid biosynthesis"	97.6449368487919	-0.295794168234907	0.0994046748415027	-2.97565651420861	0.00292362119627574	0.0112673660076948
"Influenza A"	513.877911110801	-0.239436444917471	0.100782331740456	-2.37577798392371	0.0175119960326742	0.0439726367094495
"Inorganic ion transport and metabolism"	12109.3074027874	0.12050800308647	0.0442010009778794	2.72636366644229	0.00640364006772393	0.0195883677247505
"Isoquinoline alkaloid biosynthesis"	3126.60760376977	-0.171880933301966	0.0416797080218685	-4.12385166450264	3.72588893586164e-05	0.000414505144114607
"Lipid biosynthesis proteins"	30735.5645380403	-0.0929022436254783	0.0123521868447582	-7.52111709392598	5.43101804665235e-14	1.45008181845618e-11
"Lipoic acid metabolism"	3022.40037084054	-0.122416312467196	0.0392333812462281	-3.12020806208143	0.00180723339069619	0.00804218858859806
"Lysine biosynthesis"	25491.2675740208	0.0531830449387267	0.0123430158314425	4.30875611479398	1.64175284055118e-05	0.000219174004213582
"MAPK signaling pathway - yeast"	1683.40519999733	0.295797582834067	0.0514623829373112	5.74784077127544	9.0390298798776e-09	6.0335524448183e-07
"Meiosis - yeast"	1035.22087080887	-0.265124929128361	0.101827456764356	-2.60366837739943	0.00922319509070674	0.0264794955829968
"Membrane and intracellular structural molecules"	29211.9112953951	0.128856963338031	0.0302761201780598	4.25605931606157	2.08061529312143e-05	0.000264535372982582
"Metabolism of cofactors and vitamins"	7816.70016098913	0.144822731397823	0.0376798565717	3.84350537858986	0.000121289339889653	0.00104465334679153
"N-Glycan biosynthesis"	1059.64948211937	-0.224166681347811	0.0879290328584845	-2.54940460574145	0.01079070278488	0.0303275541427681
"Nitrogen metabolism"	30096.3620770053	0.0555760661276337	0.022058005133635	2.51954180765372	0.0117507684780627	0.0313745518364275
"Nucleotide excision repair"	12341.3462839787	-0.100355614568022	0.0299009800446341	-3.35626505948025	0.000790028125641999	0.00405649056820027
"Nucleotide metabolism"	625.727403366184	0.37034729409927	0.0975490372272739	3.79652433920408	0.000146738961662699	0.0011993188806242
"One carbon pool by folate"	22292.0273647517	-0.0827196231497558	0.0219676049260805	-3.76552762251968	0.000166197747502229	0.0011993188806242
"Other ion-coupled transporters"	41189.4983242608	0.130336240797909	0.0396596167658531	3.28637166534923	0.00101487006702289	0.00492673287082021
"Other transporters"	10295.3524937277	0.0793609703029697	0.0203980689080646	3.89061193295575	9.9991738311221e-05	0.000920613590658483
"PPAR signaling pathway"	5107.59201339814	-0.24979169487257	0.0516068617038475	-4.8402806647308	1.29655885085802e-06	3.46181213179092e-05
"Pancreatic secretion"	6.79185988495158	0.357263807685986	0.0894206600134734	3.99531615660358	6.46079764220284e-05	0.00066347421941083
"Pathways in cancer"	3132.01236430995	-0.114115598746349	0.0342294892802525	-3.33383877895553	0.000856562902769423	0.00428507807062484
"Peroxisome"	11720.0324191369	-0.0525909266663622	0.0207226385056973	-2.53784896416078	0.0111536108420677	0.0307011762353824
"Phenylalanine metabolism"	14639.808295497	-0.139650773621054	0.0359864230119027	-3.88065169952745	0.000104176942123935	0.000927174784903018
"Phosphatidylinositol signaling system"	4165.38892981599	-0.0725224811991832	0.0210480057212916	-3.44557494707546	0.00056984592182298	0.00323720981120714
"Polycyclic aromatic hydrocarbon degradation"	5670.5713677144	-0.236724888682672	0.0630528806867403	-3.75438657368836	0.000173766509840866	0.00122093837177661
"Pores ion channels"	28020.7807602926	0.128058246310101	0.0270950019058769	4.72626821562706	2.28683548889305e-06	5.08820896278704e-05
"Protein kinases"	12032.5078554126	0.205008336929335	0.0726198042387985	2.82303621000131	0.00475711984646866	0.0158768874875891
"Proximal tubule bicarbonate reclamation"	1507.44706946251	-0.179185250818099	0.0414632982539924	-4.32153876713957	1.54944820901336e-05	0.000217738248319245
"Purine metabolism"	80270.2230236704	-0.0456370974233115	0.0162490712039149	-2.80859729461436	0.00497578446672098	0.016401659908821
"Pyrimidine metabolism"	63478.6506980374	-0.0829505139680342	0.0285383219545196	-2.90663599984012	0.00365338048403523	0.012858281213934
"RNA polymerase"	5029.90125715456	-0.114893279636646	0.0378132280319738	-3.03844145597661	0.00237805305995769	0.00976831026167234
"Renal cell carcinoma"	1302.43698093124	-0.130650833363911	0.0383380741805414	-3.40786114473699	0.000654742032971918	0.00364200255840629
"Riboflavin metabolism"	10951.7356433669	0.064212619427666	0.0235280617321007	2.72919291690131	0.00634895499977382	0.0195883677247505
"Ribosome"	77197.7812367331	-0.139715929575027	0.0377912218781423	-3.69704716152183	0.000218121832318492	0.00138663164831042
"Secondary bile acid biosynthesis"	100.791193936101	0.342043556486249	0.101476856348326	3.37065582039872	0.000749894832413594	0.00398672917416144
"Secretion system"	62519.3838140031	0.227055982953265	0.0602246947129574	3.77014751233622	0.000163151085546776	0.0011993188806242
"Selenocompound metabolism"	17050.0850041011	-0.0722790339774302	0.0275747550801426	-2.62120311739343	0.00876200406251472	0.0257082976339718
"Signal transduction mechanisms"	17613.7044952121	0.218894536618925	0.0528051871316254	4.14532261903164	3.39335600518308e-05	0.00039392437103647
"Small cell lung cancer"	518.637788750824	-0.236702646485254	0.100819616769729	-2.34778363645124	0.0188854880854481	0.0458402301710423
"Sphingolipid metabolism"	2575.50033742028	0.131473690950556	0.0456063801643568	2.88279162864383	0.00394168085116498	0.013492676759757
"Sporulation"	584.5087956296	0.366221660123642	0.0994070259136149	3.68406213502344	0.00022954624656997	0.0014253220426554
"Streptomycin biosynthesis"	9204.36042278138	-0.130137406938036	0.0450439293326238	-2.88912199415476	0.00386319167109281	0.0133957425478153
"Styrene degradation"	5133.76649289579	-0.160932607826799	0.0452967480824473	-3.55285124516834	0.000381079892180554	0.00226107402693795
"Sulfur metabolism"	13327.8792350873	0.0714936200141787	0.015402537523879	4.64167802891828	3.45591077828089e-06	5.87558998804246e-05
"Sulfur relay system"	13766.1128770756	0.126808878575525	0.0292427378846298	4.33642291210278	1.44820183894237e-05	0.000214816606109784
"Terpenoid backbone biosynthesis"	17609.0863143861	-0.052139760163768	0.0165652583402044	-3.14753679616473	0.00164652381063258	0.00745121792269322
"Toxoplasmosis"	513.877911110801	-0.239436444917471	0.100782331740456	-2.37577798392371	0.0175119960326742	0.0439726367094495
"Transcription factors"	57071.6602366797	0.124946959850887	0.0306960547839121	4.07045663458916	4.69210751842664e-05	0.000501117082967965
"Transcription related proteins"	250.948402960742	0.375405763386912	0.101491775966032	3.69887865113875	0.000216554099511656	0.00138663164831042
"Tropane, piperidine and pyridine alkaloid biosynthesis"	5078.102368868	-0.124196836754877	0.021241235591645	-5.84696856352974	5.00612066137656e-09	4.45544738862514e-07
"Tryptophan metabolism"	27476.8231566482	-0.0965847472209488	0.0327404177669726	-2.95001572394046	0.0031775775733212	0.0117835168343994
"Two-component system"	70663.4539619321	0.183955908682777	0.0566659356278989	3.24632262124351	0.00116906274052715	0.00557392413787053
"Type I diabetes mellitus"	1816.17543231794	0.0897660712888496	0.0291068094127386	3.08402305508495	0.00204221768722213	0.00879471165303725
"Tyrosine metabolism"	21265.5353745194	-0.0487539523141462	0.01673480126966	-2.91332723517527	0.00357599649788054	0.012858281213934
"Ubiquitin system"	1151.09645502498	0.165483555905918	0.0438305779344774	3.77552758152768	0.000159669354683467	0.0011993188806242
"Valine, leucine and isoleucine biosynthesis"	29228.2729159483	-0.0464332285865538	0.0137373353928081	-3.38007533912749	0.000724659629840331	0.00394865553402792
"Vibrio cholerae infection"	425.836022364173	0.540908098857621	0.101585892104395	5.32463797533768	1.01154296641474e-07	4.50136620054562e-06
"Vibrio cholerae pathogenic cycle"	6876.30529267975	0.562793894045426	0.0913150808380578	6.16320862753776	7.12854869651939e-10	9.51661250985338e-08
"Viral myocarditis"	513.877911110801	-0.239436444917471	0.100782331740456	-2.37577798392371	0.0175119960326742	0.0439726367094495
"alpha-Linolenic acid metabolism"	2086.32269445799	0.169105111927399	0.0502329399699504	3.36641876881105	0.000761510066974656	0.00398672917416144
"p53 signaling pathway"	1081.95104254732	-0.258252341670729	0.0834978219738521	-3.0929230914742	0.00198195491658644	0.00867511414309145
